Date : 2023-06-10 01:49:33
Directory : /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src
Total : 52 files,  3932 codes, 202 comments, 500 blanks, all 4634 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/components/Chessboard/ChessPieces/ChessPieces.tsx                   | TypeScript JSX |         38 |          0 |          6 |         44 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/components/Chessboard/ChessSquare.tsx                               | TypeScript JSX |         52 |          1 |          8 |         61 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/components/Chessboard/Chessboard.css                                | CSS            |          0 |          0 |          1 |          1 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/components/Chessboard/Chessboard.tsx                                | TypeScript JSX |        163 |          7 |         13 |        183 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/components/TurnToPlayBanner/TurnToPlayBanner.tsx                    | TypeScript JSX |         78 |          3 |          5 |         86 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/index.css                                                           | CSS            |          3 |          0 |          0 |          3 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/main.tsx                                                            | TypeScript JSX |          9 |          0 |          2 |         11 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/ChessPiecesMapped.tsx                                        | TypeScript JSX |         32 |          0 |          4 |         36 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/Contexts.ts                                                  | TypeScript     |          1 |          0 |          0 |          1 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/Contexts/ModalContext.tsx                                    | TypeScript JSX |         19 |          0 |          4 |         23 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/Contexts/TurnToPlayContext.tsx                               | TypeScript JSX |         25 |          0 |          4 |         29 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/Hooks/useModal.ts                                            | TypeScript     |         13 |          0 |          3 |         16 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/Modal/Modal.tsx                                              | TypeScript JSX |         35 |          0 |          4 |         39 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/Modal/PromotionModal.tsx                                     | TypeScript JSX |         82 |          0 |          9 |         91 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/chessboardConfigs.ts                                         | TypeScript     |         32 |          0 |          4 |         36 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/enums.ts                                                     | TypeScript     |         54 |          4 |          7 |         65 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/helperFunctionsForTest.ts                                    | TypeScript     |         16 |          0 |          3 |         19 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/types.ts                                                     | TypeScript     |         31 |          0 |          5 |         36 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/shared/utility.ts                                                   | TypeScript     |         50 |          0 |         11 |         61 |
| /Users/meherwangill/programming/AnarchyChess/AnarchyChess/AnarchChessVite/src/vite-env.d.ts                                                       | TypeScript     |          0 |          1 |          1 |          2 |
| /Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/ChessPieces/ChessPieces.tsx                  | TypeScript JSX |        -11 |          0 |         -3 |        -14 |
| /Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/ChessSquare.tsx                              | TypeScript JSX |        -75 |          0 |         -5 |        -80 |
| /Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/Chessboard.css                               | CSS            |          0 |          0 |         -1 |         -1 |
| /Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/Chessboard.tsx                               | TypeScript JSX |        -57 |          0 |         -8 |        -65 |
| Total                                                                                                                                             |                |      3,932 |        202 |        500 |      4,634 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
