"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/ChessPieces/ChessPieces.tsx", "TypeScript JSX", 27, 1, 6, 34
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/ChessPieces/ChessPiecesMapped.tsx", "TypeScript JSX", 32, 0, 4, 36
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/ChessSquare.tsx", "TypeScript JSX", 47, 48, 8, 103
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/components/Chessboard/Chessboard.tsx", "TypeScript JSX", 72, 0, 9, 81
"Total", "-", 178, 49, 27, 254
